|                MJD |     mag |   dmag | filt |      source | nondet |
|  57822.18800000008 | 15.3877 |  0.013 |    U | Las Cumbres |  False |
| 57822.191999999806 | 15.3989 | 0.0122 |    U | Las Cumbres |  False |
|  57822.19609999983 | 15.9975 | 0.0074 |    B | Las Cumbres |  False |
|   57822.1987999999 | 15.9769 | 0.0074 |    B | Las Cumbres |  False |
|  57822.20179999992 | 15.9349 | 0.0076 |    V | Las Cumbres |  False |
| 57822.203600000124 | 15.9005 | 0.0076 |    V | Las Cumbres |  False |
|  57822.20559999999 | 15.8695 | 0.0059 |    g | Las Cumbres |  False |
|  57822.20839999989 | 15.8724 | 0.0067 |    g | Las Cumbres |  False |
|  57822.21130000008 | 15.8854 | 0.0071 |    r | Las Cumbres |  False |
| 57822.213200000115 | 15.8861 |  0.008 |    r | Las Cumbres |  False |
|  57822.21519999998 | 16.0607 | 0.0093 |    i | Las Cumbres |  False |
|  57822.21700000018 | 16.0281 | 0.0111 |    i | Las Cumbres |  False |
|  57822.24040000001 | 15.3132 | 0.0113 |    U | Las Cumbres |  False |
| 57822.244299999904 | 15.3101 | 0.0113 |    U | Las Cumbres |  False |
| 57822.248399999924 | 15.8728 | 0.0065 |    B | Las Cumbres |  False |
| 57822.251099999994 | 15.8952 | 0.0056 |    B | Las Cumbres |  False |
|  57822.25410000002 |  15.836 | 0.0086 |    V | Las Cumbres |  False |
|  57822.25600000005 | 15.8558 | 0.0076 |    V | Las Cumbres |  False |
| 57822.257999999914 | 15.7601 | 0.0051 |    g | Las Cumbres |  False |
| 57822.260799999814 | 15.7704 | 0.0068 |    g | Las Cumbres |  False |
|  57822.26370000001 |  15.802 | 0.0071 |    r | Las Cumbres |  False |
|  57822.26550000021 |   15.79 | 0.0071 |    r | Las Cumbres |  False |
| 57822.267599999905 | 15.9326 | 0.0075 |    i | Las Cumbres |  False |
|  57822.26940000011 | 15.9461 | 0.0075 |    i | Las Cumbres |  False |
|  57822.36340000015 |  15.144 | 0.0105 |    U | Las Cumbres |  False |
|  57822.36730000004 | 15.1402 | 0.0099 |    U | Las Cumbres |  False |
|  57822.37140000006 | 15.7124 | 0.0047 |    B | Las Cumbres |  False |
|  57822.37419999996 | 15.7097 | 0.0047 |    B | Las Cumbres |  False |
|  57822.37710000016 |  15.663 | 0.0058 |    V | Las Cumbres |  False |
